WKT,name,description
"POLYGON ((-46.7417447 -23.5634713, -46.7418416 -23.5636437, -46.742704 -23.5642436, -46.7416204 -23.5655392, -46.7417223 -23.5662251, -46.7418349 -23.5667463, -46.7413682 -23.5673265, -46.7405475 -23.5669233, -46.7401934 -23.5673806, -46.7395175 -23.566348, -46.7403678 -23.565726, -46.7397468 -23.5647648, -46.7415569 -23.5637024, -46.7417447 -23.5634713))",HU,
"POLYGON ((-46.7397468 -23.5647648, -46.7403678 -23.565726, -46.7395175 -23.566348, -46.7388936 -23.5659649, -46.7395721 -23.5648678, -46.7397468 -23.5647648))",ICB,
"POLYGON ((-46.735643 -23.5685003, -46.7356778 -23.5687363, -46.7362357 -23.5690314, -46.7364503 -23.5689797, -46.7366783 -23.5690535, -46.7368044 -23.5692502, -46.7370243 -23.5693042, -46.7373086 -23.5692797, -46.7382206 -23.568724, -46.7385424 -23.5686429, -46.7388938 -23.5686552, -46.7398219 -23.5683209, -46.7400686 -23.5681094, -46.7403985 -23.5681906, -46.7405219 -23.5683454, -46.740428 -23.568606, -46.7402859 -23.5687142, -46.7397628 -23.5685249, -46.7389233 -23.568783, -46.7385451 -23.5687708, -46.7382501 -23.568847, -46.7375661 -23.5693436, -46.7373006 -23.5694395, -46.7368392 -23.569437, -46.7365201 -23.5695304, -46.7361848 -23.56941, -46.7361258 -23.5691936, -46.7355062 -23.5688716, -46.7350878 -23.5688224, -46.735643 -23.5685003))",av. antonio barros ulhoa cintra,
,,
"POLYGON ((-46.7365201 -23.5695304, -46.7368392 -23.569437, -46.7373006 -23.5694395, -46.7375661 -23.5693436, -46.7382501 -23.568847, -46.7385451 -23.5687708, -46.7389233 -23.568783, -46.7397628 -23.5685249, -46.7402859 -23.5687142, -46.7412619 -23.5693829, -46.7396311 -23.5713595, -46.7381666 -23.5703516, -46.7375712 -23.5701401, -46.7365201 -23.5695304))",FMVZ,
,,
"POLYGON ((-46.7400686 -23.5681094, -46.7401905 -23.5679095, -46.7402871 -23.5677129, -46.7394019 -23.5663287, -46.7394422 -23.5662992, -46.7395175 -23.566348, -46.7401934 -23.5673806, -46.7404016 -23.5677161, -46.740236 -23.56815, -46.7400686 -23.5681094))",av. orlando marques de paiva
,
"POLYGON ((-46.7401934 -23.5673806, -46.7405475 -23.5669233, -46.7413682 -23.5673265, -46.7409419 -23.5678492, -46.7404016 -23.5677161, -46.7401934 -23.5673806))",FOFITO,
"POLYGON ((-46.7402859 -23.5687142, -46.740428 -23.568606, -46.7405219 -23.5683454, -46.7403985 -23.5681906, -46.740236 -23.56815, -46.7404016 -23.5677161, -46.7409419 -23.5678492, -46.7411133 -23.5680129, -46.7406198 -23.5686177, -46.7414084 -23.5691979, -46.7412619 -23.5693829, -46.7402859 -23.5687142))",P3,
"POLYGON ((-46.735643 -23.5685003, -46.7370922 -23.5676433, -46.7378593 -23.5687951, -46.7379505 -23.5687557, -46.7382206 -23.568724, -46.7373086 -23.5692797, -46.7370243 -23.5693042, -46.7368044 -23.5692502, -46.7366783 -23.5690535, -46.7364503 -23.5689797, -46.7362357 -23.5690314, -46.7356778 -23.5687363, -46.735643 -23.5685003))",stonehenge,
"POLYGON ((-46.7388936 -23.5659649, -46.7394422 -23.5662992, -46.7394019 -23.5663287, -46.7402871 -23.5677129, -46.7401905 -23.5679095, -46.7400686 -23.5681094, -46.7398219 -23.5683209, -46.7388938 -23.5686552, -46.7385424 -23.5686429, -46.7382206 -23.568724, -46.7379505 -23.5687557, -46.7378593 -23.5687951, -46.7370922 -23.5676433, -46.7379547 -23.5671345, -46.7384536 -23.5666527, -46.7388877 -23.5659592, -46.7388936 -23.5659649))",odonto,
"POLYGON ((-46.7327462 -23.5690374, -46.7336203 -23.5693668, -46.7342533 -23.5693127, -46.7340357 -23.5696674, -46.7345667 -23.570164, -46.7340276 -23.5706311, -46.7329574 -23.5695334, -46.7327462 -23.5690374))",arquivo geral
,
"POLYGON ((-46.7340276 -23.5706311, -46.7345667 -23.570164, -46.7352558 -23.5705218, -46.7360712 -23.5715052, -46.7359908 -23.5720706, -46.7347409 -23.5714757, -46.7347409 -23.5710676, -46.7340276 -23.5706311))",mercadinho,
"POLYGON ((-46.7352558 -23.5705218, -46.7360906 -23.5702534, -46.7369167 -23.5702879, -46.7383866 -23.5711631, -46.7376838 -23.5720432, -46.7360712 -23.5715052, -46.7352558 -23.5705218))",centro de convenções
,
